time	I(R20)+I(R21)
1.220076178226682e-04	9.105226e-01
1.221076178226682e-04	9.115010e-01
1.222076178226682e-04	9.124874e-01
1.223076178226682e-04	9.134776e-01
1.224076178226682e-04	9.144722e-01
1.225076178226682e-04	9.154674e-01
1.226076178226682e-04	9.164638e-01
1.227076178226682e-04	9.174573e-01
1.228076178226682e-04	9.184488e-01
1.229076178226682e-04	9.194340e-01
1.230076178226682e-04	9.204138e-01
1.231076178226682e-04	9.213843e-01
1.232076178226682e-04	9.223460e-01
1.233076178226682e-04	9.232951e-01
1.234076178226682e-04	9.242323e-01
1.235076178226682e-04	9.251538e-01
1.236076178226682e-04	9.260602e-01
1.237076178226682e-04	9.269478e-01
1.238076178226682e-04	9.278174e-01
1.239076178226682e-04	9.286650e-01
1.240076178226682e-04	9.294919e-01
1.241076178226682e-04	9.302939e-01
1.242076178226682e-04	9.310722e-01
1.243076178226682e-04	9.318231e-01
1.244076178226682e-04	9.325476e-01
1.245076178226682e-04	9.332422e-01
1.246076178226682e-04	9.339079e-01
1.247076178226682e-04	9.345412e-01
1.248076178226682e-04	9.351434e-01
1.249076178226682e-04	9.357110e-01
1.250000000000000e-04	9.362061e-01
1.250092382177332e-04	9.362534e-01
1.250277146531995e-04	9.363482e-01
1.250408287945727e-04	9.364147e-01
1.250512758350035e-04	9.364672e-01
1.250594519493635e-04	9.365080e-01
1.250631301226466e-04	1.926369e+00
1.250649601410020e-04	1.881218e+00
1.250660813724067e-04	1.952716e+00
1.250665464375830e-04	1.950553e+00
1.250669589053171e-04	1.944914e+00
1.250672886903738e-04	1.939029e+00
1.250676304542723e-04	1.935434e+00
1.250679438188303e-04	1.932781e+00
1.250682835358120e-04	1.931722e+00
1.250686565945955e-04	1.931091e+00
1.250690896184777e-04	1.931297e+00
1.250696319300912e-04	1.931428e+00
1.250703598869538e-04	1.931511e+00
1.250715127480815e-04	1.930675e+00
1.250735323742119e-04	1.929056e+00
1.250764373785978e-04	1.926640e+00
1.250822473873695e-04	1.921218e+00
1.250932333761397e-04	1.908556e+00
1.251000000000000e-04	1.899764e+00
1.251006766623860e-04	1.898796e+00
1.251020299871581e-04	1.896947e+00
