time	V(vcc)	V(vo)
3.461352105514479e-05	9.548091e+00	4.925214e+00
3.471352105514480e-05	9.535806e+00	4.924607e+00
3.481352105514480e-05	9.523380e+00	4.924170e+00
3.491352105514480e-05	9.510862e+00	4.923910e+00
3.501352105514480e-05	9.498301e+00	4.923833e+00
3.511352105514481e-05	9.485746e+00	4.923945e+00
3.521352105514481e-05	9.473248e+00	4.924252e+00
3.531352105514481e-05	9.460856e+00	4.924755e+00
3.541352105514481e-05	9.448618e+00	4.925457e+00
3.551352105514482e-05	9.436583e+00	4.926358e+00
3.561352105514482e-05	9.424798e+00	4.927452e+00
3.571352105514482e-05	9.413310e+00	4.928733e+00
3.581352105514482e-05	9.402164e+00	4.930191e+00
3.591352105514482e-05	9.391404e+00	4.931807e+00
3.601352105514483e-05	9.381073e+00	4.933562e+00
3.611352105514483e-05	9.371211e+00	4.935429e+00
3.621352105514483e-05	9.361857e+00	4.937378e+00
3.631352105514483e-05	9.353048e+00	4.939373e+00
3.641352105514484e-05	9.344820e+00	4.941381e+00
3.651352105514484e-05	9.337204e+00	4.943369e+00
3.661352105514484e-05	9.330230e+00	4.945312e+00
3.671352105514484e-05	9.323926e+00	4.947194e+00
3.681352105514485e-05	9.318317e+00	4.949016e+00
3.691352105514485e-05	9.313426e+00	4.950792e+00
3.701352105514485e-05	9.309271e+00	4.952552e+00
3.711352105514485e-05	9.305868e+00	4.954331e+00
3.721352105514486e-05	9.303231e+00	4.956162e+00
3.731352105514486e-05	9.301372e+00	4.958072e+00
3.741352105514486e-05	9.300295e+00	4.960067e+00
3.751352105514486e-05	9.300007e+00	4.962137e+00
3.761352105514487e-05	9.300508e+00	4.964255e+00
3.771352105514487e-05	9.301797e+00	4.966383e+00
3.781352105514487e-05	9.303868e+00	4.968481e+00
3.791352105514487e-05	9.306713e+00	4.970519e+00
3.801352105514488e-05	9.310321e+00	4.972483e+00
3.811352105514488e-05	9.314677e+00	4.974372e+00
3.821352105514488e-05	9.319764e+00	4.976201e+00
3.831352105514488e-05	9.325563e+00	4.977986e+00
3.841352105514489e-05	9.332051e+00	4.979740e+00
3.851352105514489e-05	9.339201e+00	4.981462e+00
3.861352105514489e-05	9.346986e+00	4.983140e+00
3.871352105514489e-05	9.355374e+00	4.984752e+00
3.881352105514490e-05	9.364334e+00	4.986275e+00
3.891352105514490e-05	9.373829e+00	4.987693e+00
3.901352105514490e-05	9.383821e+00	4.988997e+00
3.911352105514490e-05	9.394273e+00	4.990191e+00
3.921352105514491e-05	9.405142e+00	4.991281e+00
3.931352105514491e-05	9.416385e+00	4.992272e+00
3.941352105514491e-05	9.427958e+00	4.993162e+00
3.951352105514491e-05	9.439815e+00	4.993944e+00
3.961352105514491e-05	9.451909e+00	4.994606e+00
3.971352105514492e-05	9.464194e+00	4.995136e+00
3.981352105514492e-05	9.476620e+00	4.995530e+00
3.991352105514492e-05	9.489138e+00	4.995788e+00
4.001352105514492e-05	9.501699e+00	4.995914e+00
4.011352105514493e-05	9.514254e+00	4.995911e+00
4.021352105514493e-05	9.526752e+00	4.995783e+00
4.031352105514493e-05	9.539144e+00	4.995527e+00
4.041352105514493e-05	9.551382e+00	4.995140e+00
4.051352105514494e-05	9.563417e+00	4.994618e+00
4.061352105514494e-05	9.575202e+00	4.993963e+00
4.071352105514494e-05	9.586690e+00	4.993177e+00
4.081352105514494e-05	9.597836e+00	4.992268e+00
4.091352105514495e-05	9.608596e+00	4.991239e+00
4.101352105514495e-05	9.618927e+00	4.990095e+00
4.111352105514495e-05	9.628789e+00	4.988840e+00
4.121352105514495e-05	9.638143e+00	4.987476e+00
4.131352105514496e-05	9.646952e+00	4.986006e+00
4.141352105514496e-05	9.655180e+00	4.984435e+00
4.151352105514496e-05	9.662796e+00	4.982769e+00
4.161352105514496e-05	9.669770e+00	4.981017e+00
4.171352105514497e-05	9.676074e+00	4.979184e+00
4.181352105514497e-05	9.681683e+00	4.977279e+00
4.191352105514497e-05	9.686574e+00	4.975307e+00
4.201352105514497e-05	9.690729e+00	4.973273e+00
4.211352105514498e-05	9.694132e+00	4.971186e+00
4.221352105514498e-05	9.696769e+00	4.969052e+00
4.231352105514498e-05	9.698628e+00	4.966880e+00
4.241352105514498e-05	9.699705e+00	4.964676e+00
4.251352105514499e-05	9.699993e+00	4.962451e+00
4.261352105514499e-05	9.699492e+00	4.960211e+00
4.271352105514499e-05	9.698203e+00	4.957965e+00
4.281352105514499e-05	9.696132e+00	4.955720e+00
4.291352105514499e-05	9.693287e+00	4.953485e+00
4.301352105514500e-05	9.689679e+00	4.951269e+00
4.311352105514500e-05	9.685323e+00	4.949079e+00
4.321352105514500e-05	9.680236e+00	4.946923e+00
4.331352105514500e-05	9.674437e+00	4.944811e+00
4.341352105514501e-05	9.667949e+00	4.942752e+00
4.351352105514501e-05	9.660799e+00	4.940753e+00
4.361352105514501e-05	9.653014e+00	4.938823e+00
4.371352105514501e-05	9.644626e+00	4.936971e+00
4.381352105514502e-05	9.635666e+00	4.935206e+00
4.391352105514502e-05	9.626171e+00	4.933535e+00
4.401352105514502e-05	9.616179e+00	4.931968e+00
4.411352105514502e-05	9.605727e+00	4.930513e+00
4.421352105514503e-05	9.594858e+00	4.929178e+00
4.431352105514503e-05	9.583615e+00	4.927973e+00
4.441352105514503e-05	9.572042e+00	4.926905e+00
4.451352105514503e-05	9.560185e+00	4.925982e+00
4.461352105514504e-05	9.548091e+00	4.925214e+00
4.471352105514504e-05	9.535806e+00	4.924607e+00
4.481352105514504e-05	9.523380e+00	4.924170e+00
4.491352105514504e-05	9.510862e+00	4.923910e+00
4.501352105514505e-05	9.498301e+00	4.923833e+00
4.511352105514505e-05	9.485746e+00	4.923945e+00
4.521352105514505e-05	9.473248e+00	4.924252e+00
4.531352105514505e-05	9.460856e+00	4.924755e+00
4.541352105514506e-05	9.448618e+00	4.925457e+00
4.551352105514506e-05	9.436583e+00	4.926358e+00
4.561352105514506e-05	9.424798e+00	4.927452e+00
4.571352105514506e-05	9.413310e+00	4.928733e+00
4.581352105514507e-05	9.402164e+00	4.930191e+00
4.591352105514507e-05	9.391404e+00	4.931807e+00
4.601352105514507e-05	9.381073e+00	4.933562e+00
4.611352105514507e-05	9.371211e+00	4.935429e+00
4.621352105514508e-05	9.361857e+00	4.937378e+00
4.631352105514508e-05	9.353048e+00	4.939373e+00
4.641352105514508e-05	9.344820e+00	4.941381e+00
4.651352105514508e-05	9.337204e+00	4.943369e+00
4.661352105514508e-05	9.330230e+00	4.945312e+00
4.671352105514509e-05	9.323926e+00	4.947194e+00
4.681352105514509e-05	9.318317e+00	4.949016e+00
4.691352105514509e-05	9.313426e+00	4.950792e+00
4.701352105514509e-05	9.309271e+00	4.952552e+00
4.711352105514510e-05	9.305868e+00	4.954331e+00
4.721352105514510e-05	9.303231e+00	4.956162e+00
4.731352105514510e-05	9.301372e+00	4.958072e+00
4.741352105514510e-05	9.300295e+00	4.960067e+00
4.751352105514511e-05	9.300007e+00	4.962137e+00
4.761352105514511e-05	9.300508e+00	4.964255e+00
4.771352105514511e-05	9.301797e+00	4.966383e+00
4.781352105514511e-05	9.303868e+00	4.968481e+00
4.791352105514512e-05	9.306713e+00	4.970519e+00
